Spearman Correlation - in-domain
,MASE,WQL,RMSE[mean],MAE
MASE,1.0,0.9680192076830733,0.32129651860744296,0.7283073229291717
WQL,0.9680192076830733,1.0,0.3182232893157263,0.7300360144057623
RMSE[mean],0.32129651860744296,0.3182232893157263,1.0,0.8350060024009603
MAE,0.7283073229291717,0.7300360144057623,0.8350060024009603,1.0

Spearman Correlation - zero-shot
,MASE,WQL,RMSE[mean],MAE
MASE,1.0,0.9779111644657863,0.7482833133253302,0.7664345738295318
WQL,0.9779111644657863,1.0,0.7491476590636255,0.7478991596638656
RMSE[mean],0.7482833133253302,0.7491476590636255,1.0,0.9137575030012005
MAE,0.7664345738295318,0.7478991596638656,0.9137575030012005,1.0

